0,33260,67960,101080,130860,153040,165240,174220,178220,177780,180900,,,
0.05,44900,89320,134460,173560,199720,217520,225160,229720,232680,238340,,,
0.1,45000,89860,134240,172460,200800,215840,226360,229620,234300,234420,,,
0.15,45000,90000,134680,173140,199080,218080,229440,231580,235300,238140,,,44885.4
0.2,45220,90380,134700,172360,202160,214960,229280,228820,231260,236400,,,89896
0.25,45220,90460,133220,174380,200980,216080,225880,229560,233080,240100,,,133945
0.3,45220,90420,134060,173800,200760,215600,227680,233500,235860,235180,,,172839.6
0.35,45240,90460,132480,172460,199780,221340,229000,232660,235460,236720,,,197614.4
0.4,45380,88600,132160,174120,201580,217820,224880,228780,232800,237560,,,202550.8
0.45,45120,89580,135280,172760,202740,216600,226500,229420,236820,238720,,,207843.6
0.5,44880,88440,135460,173960,203660,217520,229180,231420,233900,238200,,,210799
0.55,45200,87220,133560,174960,201580,219460,226300,230960,231540,238360,,,217287.4
0.6,45460,89080,134300,176360,201980,213460,224200,224540,236080,238080,,,223052.6
0.65,44840,89360,134300,173960,201880,212980,225480,233240,232540,234580,,,
0.7,45660,90460,135580,173760,202420,213620,223320,232360,231780,235180,,,
0.75,45460,89960,134840,173160,202460,212340,223820,231620,231660,233420,,,
0.8,45000,90900,133480,173540,202820,213020,225740,227320,229840,238440,,,
0.85,44980,89480,134700,174240,200200,213360,218340,227300,231840,235820,,,
0.9,45400,87360,132480,175320,200260,210740,220900,227400,232520,234120,,,
0.95,45180,89160,133320,173980,204500,212400,223680,229320,231480,235260,,,
1,45200,91520,131300,173400,202320,208740,221400,226920,229940,239680,,,
1.05,46120,88520,133940,174400,202100,207800,220800,227800,228860,236520,,,
1.1,45600,89640,134920,171340,203140,208780,222320,226960,232520,238080,,,
1.15,45240,88820,133940,172700,201400,207380,223460,223740,229440,236120,,,
1.2,44420,91440,132640,174320,200220,206760,215360,224720,228460,235980,,,
1.25,44160,90840,132840,175440,200280,207460,214500,220740,231220,233940,,,
1.3,44360,88880,134640,172140,200280,207260,219100,223680,232060,233740,,,
1.35,44800,90640,133260,172760,200060,205820,218480,223840,228920,235160,,,
1.4,45440,91560,135320,173460,197580,203520,215740,223060,231440,228680,,,
1.45,44100,89460,134380,176960,198480,200520,215660,223540,232840,228880,,,
1.5,43620,89500,136000,172600,198040,203360,216980,222380,227680,233120,,,
1.55,44920,89180,131060,170400,197140,201860,216020,225740,228880,235560,,,
1.6,44880,89580,136860,171100,195060,199820,215080,221620,227140,235240,,,
1.65,45420,90340,136140,171380,196360,201040,213800,220760,228600,231880,,,
1.7,46780,90840,135180,174620,194520,199960,213760,222040,228940,230280,,,
1.75,44740,90460,134400,175420,193240,199380,213960,220500,229620,230540,,,
1.8,45180,88740,134900,174780,195360,194740,212820,216780,225980,228480,,,
1.85,43400,90380,135880,176460,195520,193860,212480,216080,228040,228200,,,
1.9,44940,92240,133260,170180,194820,196120,209300,217960,224080,230000,,,
1.95,44200,93580,133340,173600,195360,196880,214160,218720,226460,233500,,,
2,45840,89260,135140,172420,194840,196660,208520,218300,223000,227140,,,
2.05,44900,89400,134240,173180,196400,197060,209640,218480,224160,228780,,,
2.1,44860,88240,135680,175580,197260,196220,209980,218640,226480,229920,,,
2.15,45380,90780,131840,172380,195640,196620,208920,217440,227860,230960,,,
2.2,44580,90600,131820,172900,196940,197620,204860,214140,219980,228980,,,
2.25,44740,89340,131120,173260,195680,197320,205720,214040,221720,226080,,,
2.3,44720,91820,134940,172700,196960,196560,207060,214560,220540,228480,,,
2.35,45520,92060,132940,176440,194300,197380,206860,214520,224340,227400,,,
2.4,44980,91680,136340,174800,197120,197200,203340,212020,223160,227960,,,
2.45,44260,90460,137540,172040,196380,197400,202640,211120,219660,227620,,,
2.5,46060,90700,136300,173900,196520,196580,202920,210580,218840,228120,,,
2.55,46700,91020,134060,173860,196380,198460,202520,212140,220540,225800,,,
2.6,45980,91960,134280,174120,196960,197700,201300,206580,217640,226680,,,
2.65,45820,91000,136360,175580,196360,200220,199260,208480,221420,226280,,,
2.7,46540,89640,134040,173360,195460,197840,198160,207860,220280,223980,,,
2.75,45820,89220,135580,175940,196400,197040,198040,208780,217660,221980,,,
2.8,45980,92240,134060,173220,198220,199720,196240,205820,218780,224680,,,
2.85,45460,91000,134560,172700,199320,199840,195460,205640,214340,226060,,,
2.9,45760,90960,134120,173660,197160,198640,194740,205480,218820,223240,,,
2.95,44680,86760,132260,174700,197220,197920,196140,206580,216820,223500,,,
3,44500,88120,137540,169720,197460,199260,197520,201120,212240,223440,,,
3.05,45400,88040,132920,173500,197380,199660,195760,202660,213680,221840,,,
3.1,45840,90160,134060,173160,199080,198100,196680,203920,211220,219080,,,
3.15,45280,90200,134780,173400,199960,197920,195520,204620,213700,223640,,,
3.2,43040,89760,137700,173520,198320,201040,195800,200300,213140,220140,,,
3.25,44020,91100,136440,174040,196920,200020,197580,200200,209880,218800,,,
3.3,44600,89720,134180,174020,199060,200240,196380,201460,210860,218200,,,
3.35,45380,91180,131320,172020,198620,199180,197660,199920,213040,217700,,,
3.4,44200,90700,136320,176100,196180,200300,197960,197180,210380,216780,,,
3.45,45940,90400,134460,174680,195560,199780,197940,196620,210040,215860,,,
3.5,44200,89480,134980,171200,194440,200380,198240,196580,209000,215460,,,
3.55,43440,89860,134300,174660,197480,200400,197020,195360,209880,218180,,,
3.6,44340,90820,134700,171900,198080,201740,198580,193660,206800,213720,,,
3.65,44380,91400,136060,173080,195900,201500,199460,193560,206320,216140,,,
3.7,45100,90680,132900,171560,198060,199500,199000,192200,206340,213340,,,
3.75,44360,90600,136480,171240,195380,202260,198620,193820,204420,215620,,,
3.8,44920,91580,133540,174260,196020,202200,199760,193920,204600,214440,,,
3.85,44720,90780,132400,173100,195140,203400,198160,193420,200220,212360,,,
3.9,46120,91860,134340,172400,195420,201680,199100,194500,202500,212680,,,
3.95,43540,90700,134400,171360,196300,200960,198300,193560,203280,213820,,,
4,45460,90740,134780,172020,196580,197600,201880,193640,199060,210840,,,
4.05,46340,91600,133620,171880,198460,199140,198200,194480,199580,209560,,,
4.1,44120,88920,132620,171340,197300,199940,200460,194440,198480,209620,,,
4.15,45320,88460,132860,172560,194920,199140,198040,193920,200100,210380,,,
4.2,43880,89180,134020,175380,198260,197540,201360,195220,196980,207100,,,
4.25,46200,89560,133220,172220,198340,198240,200640,194040,196160,207580,,,
4.3,44260,89720,133940,173960,197500,198800,199640,195700,196220,209520,,,
4.35,46180,88540,136120,171580,198140,198800,198200,193360,196860,210340,,,
4.4,44680,89840,132220,171820,198640,199120,202700,194980,195500,205080,,,
4.45,44160,89480,133720,173500,195720,198620,200520,194980,199040,202880,,,
4.5,46760,89860,136460,172980,198900,198440,199420,194940,197680,205340,,,
4.55,44520,88580,133040,171400,197320,198820,198700,193180,197400,203960,,,
4.6,43860,91200,135220,170880,199280,198660,200420,197800,196340,200680,,,
4.65,45340,91560,134180,170940,198720,200300,199820,197160,197280,201420,,,
4.7,43860,89700,134920,171820,198060,200140,202940,196140,196700,200680,,,
4.75,44020,89700,130620,173160,199260,200840,201620,197960,198060,203880,,,
4.8,44880,92380,135860,172080,195580,198440,195620,196760,197860,197560,,,
4.85,44040,88380,133040,172300,195680,200000,195300,194820,196920,195960,,,
4.9,44640,90240,134440,174060,195020,199220,198180,195540,197600,198700,,,
4.95,44980,92060,135980,171820,193800,200720,198800,196120,197700,197780,,,
