time (sec),obs_congestion_control-single_node_offerload_0_1-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_2-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_3-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_4-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_5-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_6-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_7-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_8-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_9-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_10-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,,,
0,0,0,440,3700,16280,39180,66440,98500,134840,164700,,,
0.05,0,0,540,6040,23940,50140,85780,126020,171960,202780,,,
0.1,0,0,800,7080,22960,54240,86920,130860,168780,210080,,,
0.15,0,0,280,6680,22220,51740,80720,123120,168620,209340,,,
0.2,0,0,420,6060,21880,50560,87480,125400,167300,213800,,,
0.25,0,0,660,5800,22760,50280,87420,128080,169960,210800,,,
0.3,0,20,1100,7260,23740,48400,84040,130800,169380,211020,,,0
0.35,0,20,420,5780,23720,49320,87120,124840,169500,211900,,,9.2
0.4,0,60,760,5460,20840,51740,87980,124140,173440,210800,,,647.6
0.45,0,0,780,5320,21020,51600,87780,129580,166300,211000,,,5974.8
0.5,0,0,540,6460,22020,51580,88820,126700,166820,209680,,,22804.8
0.55,0,0,860,6880,22860,52100,87060,127560,164780,212160,,,51193
0.6,0,0,540,5340,24260,51620,85440,126900,170120,212260,,,87504.6
0.65,0,0,700,6340,21700,49240,88140,125440,169060,215140,,,127102.2
0.7,0,20,920,5980,23140,54160,87200,126100,169860,209860,,,169135.4
0.75,0,0,640,5140,22800,51180,87360,128060,169020,214640,,,211924.4
0.8,0,100,480,6560,23900,49440,87100,130960,169720,212660,,,
0.85,0,0,780,5820,21680,49660,88660,128060,169340,212560,,,
0.9,0,40,440,5840,22200,50600,89940,124880,171800,217640,,,
0.95,0,0,520,5660,22080,49120,89140,128260,169800,210920,,,
1,0,0,760,5120,22880,52100,86340,126240,170080,213460,,,
1.05,0,0,620,6420,22640,53300,84840,130420,168040,213760,,,
1.1,0,20,680,6660,23120,51420,88720,128420,170000,210120,,,
1.15,0,0,480,4880,22280,49220,86860,127200,171240,210420,,,
1.2,0,20,740,5680,25700,51180,91180,129360,169880,212040,,,
1.25,0,40,420,5240,22920,53020,88980,129640,167740,215700,,,
1.3,0,0,520,6080,24560,51580,89360,126960,167840,213700,,,
1.35,0,0,740,6960,22360,52820,86680,127200,170620,211120,,,
1.4,0,0,760,5880,21420,50780,84800,124400,169120,212920,,,
1.45,0,0,760,6440,22240,53080,89040,128220,169600,211520,,,
1.5,0,20,380,6760,23080,52080,86380,126240,166980,212980,,,
1.55,0,0,660,5620,21420,47580,87480,130920,168520,213340,,,
1.6,0,0,360,6940,23360,50080,89100,127520,170460,213740,,,
1.65,0,0,540,4860,24720,52100,87200,128320,169700,211560,,,
1.7,0,0,600,5780,24540,49980,89000,128160,172740,213720,,,
1.75,0,0,620,5200,21540,50520,85720,125340,170400,210540,,,
1.8,0,0,980,5740,22380,52600,91480,131100,166840,209700,,,
1.85,0,0,480,6020,21380,50600,88020,127880,171300,214200,,,
1.9,0,20,620,6740,22900,53180,88940,127760,172080,215400,,,
1.95,0,0,720,5620,24160,51760,85780,124520,169880,212460,,,
2,0,0,840,5940,23260,52520,85280,127020,170580,216860,,,
2.05,0,0,680,6220,22160,55440,89360,126140,171780,214080,,,
2.1,0,20,680,6000,22600,49160,88860,127380,173440,211120,,,
2.15,0,20,580,7220,22920,50840,87940,127760,171080,211640,,,
2.2,0,0,500,6920,22500,51120,88100,122360,166320,210880,,,
2.25,0,0,540,6500,22740,50180,85520,126160,167500,216380,,,
2.3,0,20,580,6000,24100,50180,89960,128180,168000,207200,,,
2.35,0,20,580,6280,24560,53380,87820,125760,167520,214900,,,
2.4,0,0,520,6100,23340,50160,89640,126080,171520,211340,,,
2.45,0,20,460,5800,21600,53580,87220,127300,170460,210220,,,
2.5,0,20,660,6720,21860,47340,84420,128240,170480,214360,,,
2.55,0,0,400,6380,22400,49320,88460,130160,170760,211980,,,
2.6,0,0,960,5180,23480,51060,91640,126940,167540,211440,,,
2.65,0,0,600,5700,21560,51580,86640,123860,168940,213400,,,
2.7,0,0,680,5580,23180,52320,88200,130580,169920,211180,,,
2.75,0,0,520,5220,23100,51460,86020,130280,171220,211380,,,
2.8,0,0,880,6320,23400,52860,86640,127800,171180,213220,,,
2.85,0,0,600,5980,23520,50520,87840,124200,166840,214380,,,
2.9,0,0,500,5540,24600,51720,87480,129220,168740,212040,,,
2.95,0,0,880,5600,23140,54920,87420,129400,167020,213660,,,
3,0,0,780,5760,22960,52140,87500,127140,168420,213820,,,
3.05,0,0,380,6320,23660,54940,89220,127820,171000,211960,,,
3.1,0,0,620,5340,23220,52600,86960,128520,169940,212260,,,
3.15,0,40,520,6660,23780,52120,88120,126940,171340,215160,,,
3.2,0,0,620,5560,23720,50840,86760,131300,167500,208520,,,
3.25,0,20,1020,6000,24480,49120,90020,129680,169060,211920,,,
3.3,0,40,760,5740,23460,48680,82560,129240,171980,215880,,,
3.35,0,0,680,5160,22220,50080,91240,128440,169460,215220,,,
3.4,0,20,480,6300,22040,50300,87040,130040,168180,211400,,,
3.45,0,0,1020,5420,23620,52960,88640,126000,169280,211720,,,
3.5,0,0,560,5360,24320,50700,86740,127360,168640,211920,,,
3.55,0,0,880,5700,23620,51000,88440,127480,170940,211060,,,
3.6,0,0,520,7300,21820,51080,90440,128260,171700,216640,,,
3.65,0,20,300,6020,24680,50880,87940,128020,172460,210480,,,
3.7,0,0,520,6140,21460,53920,88540,128520,172000,213900,,,
3.75,0,20,680,6060,22580,49280,88380,130800,169500,211060,,,
3.8,0,0,560,5940,20540,50180,89740,126220,170380,211640,,,
3.85,0,20,640,6260,22720,47500,85880,126680,169060,209200,,,
3.9,0,80,580,6360,23300,52220,89900,128220,171160,214940,,,
3.95,0,40,760,5620,23900,53600,88300,124340,169880,213560,,,
4,0,40,680,6580,20700,49340,87380,129720,168360,208060,,,
4.05,0,20,840,5820,22720,49400,87320,129540,169440,209820,,,
4.1,0,0,440,5760,22580,53100,89660,124200,170920,212520,,,
4.15,0,0,920,5060,23020,50860,89200,124160,170960,209340,,,
4.2,0,20,900,6440,23900,51680,89700,127760,168100,215780,,,
4.25,0,0,800,6160,23080,52680,89380,125700,170580,212260,,,
4.3,0,0,700,5500,24000,50460,85540,130980,170700,211380,,,
4.35,0,0,620,6380,22040,50980,87700,126640,168100,213180,,,
4.4,0,0,760,7120,23520,50040,84380,125540,166800,214740,,,
4.45,0,0,900,6380,22380,48880,89280,124840,168280,211940,,,
4.5,0,20,640,5320,21900,51620,88640,126280,168700,210300,,,
4.55,0,0,960,5720,20000,51440,86740,128920,167880,212680,,,
4.6,0,0,480,6320,21560,54740,87900,127540,168820,210960,,,
4.65,0,0,540,5600,23340,51380,88760,129660,170420,210600,,,
4.7,0,0,760,6160,22000,55360,86780,127460,169660,214380,,,
4.75,0,0,620,5380,22220,53980,87120,125300,170500,218060,,,
4.8,0,0,700,6100,21780,53300,88800,123100,167640,214700,,,
4.85,0,0,780,6300,23680,49700,89720,127940,166340,213700,,,
4.9,0,20,620,6160,24200,49900,86080,123800,167900,212820,,,
4.95,0,0,520,5160,24140,51780,87120,125220,167260,215160,,,
5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
